Time,Title,Content,URL
19 Hours Ago,This map shows where home price inequality is the highest,"""Families earning lower incomes may still have the opportunity to access home ownership"" in these places, reports Lending Tree.",https://www.cnbc.com/2018/07/25/map-of-highest-home-price-inequality.html
19 Hours Ago,Mulvaney acknowledges he and Kudlow have been on the losing side of the tariffs argument with Trump,"White House budget director Mick Mulvaney acknowledges that when it comes to some of the key policy debates, he and other fiscal conservatives are often coming up on the short end.",https://www.cnbc.com/2018/07/25/mulvaney-acknowledges-he-and-kudlow-have-been-on-the-losing-side-of-th.html
19 Hours Ago,GOP Rep. Kevin Brady: Tariffs are taxes that impede the nation's economic growth,Rep. Kevin Brady is worried about the long-term impacts President Trump's tariffs could have on economic growth.,https://www.cnbc.com/2018/07/25/gop-rep-kevin-brady-tariffs-are-taxes-impede-economic-growth.html
17 Hours Ago,Second quarter's hot economic growth may have been helped by increased activity to get ahead of tariffs,"The U.S. economy is expected to have grown at its best pace in four years in the second quarter, and a part of the boost may have been from inventory building and exports ahead of the implementation of tariffs.",https://www.cnbc.com/2018/07/24/hot-economic-growth-could-be-partly-due-to-increased-activity-ahead-of.html
20 Hours Ago,China and India launch investment spree in Africa ahead of key summit,Chinese President Xi Jinping and Indian Prime Minister Narendra Modi have continued to lend in tandem to African countries.,https://www.cnbc.com/2018/07/25/china-xi-and-india-modi-lend-to-africa-ahead-of-brics-summit.html
21 Hours Ago,Trump says China is 'being vicious' and targeting US farmers on purpose,"President Trump goes after China for its trade practices once again, saying the Chinese are purposefully going after U.S. farmers.",https://www.cnbc.com/2018/07/25/trump-says-china-is-being-vicious-and-targeting-us-farmers-on-purpos.html
21 Hours Ago,"Ahead of Trump meeting, the EU readies new US tariffs worth $20 billionxc2xa0xc2xa0","The United States could face another wave of tariffs from Europe if President Donald Trump signs off new duties on carmakers, the EUxe2x80x99s trade chief told the Swedish newspaper Dagens Nyheter Wednesday.",https://www.cnbc.com/2018/07/25/eu-readies-new-us-tariffs-worth-20-billion.html
15 Hours Ago,"xc2xa0xe2x80x98A storm is brewingxe2x80x99 in the US economy, says economist Diane Swonk","Even if there isnxe2x80x99t a full-blown trade war, the uncertainty surrounding tariffs can hurt the U.S. economy, says economist Diane Swonk.",https://www.cnbc.com/2018/07/24/a-storm-is-brewing-in-the-us-economy-says-economist-diane-swonk.html
21 Hours Ago,"Trump's $12 billion aid for farmers 'unprecedented,' risks unintended consequences","The Trump administration's $12 billion emergency aid plan unveiled Tuesday is seen as ""unprecedented"" and could have unintended consequences.",https://www.cnbc.com/2018/07/24/trumps-12-billion-aid-for-farmers-risks-unintended-consequences.html
"8:05  PM ET Tue, 24 July 2018",Trump administration now focused on tariffs with biggest economic bitexc2xa0,"President Donald Trump meets European Commission President Jean-Claude Juncker Wednesday to discuss trade, including tariffs on autos, the sector that could have the most economic impact if it becomes part of the trade wars.xc2xa0",https://www.cnbc.com/2018/07/24/trump-administration-now-focused-on-tariffs-with-biggest-economic-bite.html
