Time,Title,Content,URL
"3:43  PM ET Tue, 13 Feb 2018",Total US household debt soars to record above $13 trillion,"Total household debt rosexc2xa0to an all-time high of $13.15 trillion at year-end 2017, according to the Federal Reserve Bank of New York.",https://www.cnbc.com/2018/02/13/total-us-household-debt-soars-to-record-above-13-trillion.html
"5:58  PM ET Tue, 13 Feb 2018",White House reportedly considering Mester for Fed vice chair,Loretta Mester is known as one of the more hawkish members in the Federal Reserve.,https://www.cnbc.com/2018/02/13/white-house-reportedly-considering-mester-for-fed-vice-chair.html
"10:52  AM ET Tue, 13 Feb 2018",Steve Bannon: 'Yellen's my girl' and should have been reappointed,"If Steve Bannon had his way in the White House, Janet Yellen would still be chair of the Federal Reserve.",https://www.cnbc.com/2018/02/13/steve-bannon-yellens-my-girl-and-should-have-been-reappointed.html
"4:06  PM ET Tue, 13 Feb 2018",3M upgraded at Deutsche Bank: US expansion 'could carry on for years',"Recent tax overhaul in the United States is likely to fuel 3M's expansion higher, according to Deutsche Bank.",https://www.cnbc.com/2018/02/13/3m-upgraded-at-deutsche-bank-us-expansion-could-carry-on-for-years.html
"10:42  AM ET Tue, 13 Feb 2018",Tax reform puts pressure on companies to share the wealth,"After winning big tax breaks, companies should drive more inclusive growth, says JPMorgan's Peter Scher.",https://www.cnbc.com/2018/02/13/tax-reform-puts-pressure-on-companies-to-share-the-wealth-commentary.html
"8:48  AM ET Wed,  7 March 2018",US trade deficit jumps to more than 9-year high,"The trade gap suggested President Trump's ""America First"" trade policies are unlikely to have a material impact on the deficit.",https://www.cnbc.com/2018/03/07/us-trade-deficit-jumps-to-more-than-9-year-high.html
"8:38  AM ET Wed,  7 March 2018",US fourth-quarter unit labor costs revised higher as productivity stalls,U.S. unit labor costs increased faster than initially thought in the fourth quarter amid weak worker productivity.,https://www.cnbc.com/2018/03/07/revised-q4-2017-productivity-flat-vs-the-initial-estimate-of-a-0-point-1-percent-drop.html
"9:17  AM ET Wed,  7 March 2018","Talk of a trade war ignites uncertainty and is against the interest of the US, Fed officials said","Global worries over an emerging ""trade war"" pose an uncertainty for the Federal Reserve, officials said Wednesday.",https://www.cnbc.com/2018/03/07/talk-of-a-trade-war-ignites-uncertainty-and-is-against-the-interest-of-the-us-fed-officials-said.html
"7:00  AM ET Wed,  7 March 2018","Mortgage applications stall, along with interest rates",The start of the spring housing market has yet to energize the mortgage market.,https://www.cnbc.com/2018/03/07/mortgage-applications-stall-along-with-interest-rates.html
"1:09  PM ET Tue,  6 March 2018",Trump believes economic advisor Cohn will resign if tariffs imposed: Report,"Republicans have spoken out against the tariffs, and Trump's contemporaries have urged Cohn not to resign.",https://www.cnbc.com/2018/03/06/trump-believes-gary-cohn-will-resign-if-tariffs-imposed-report.html
"11:43  AM ET Tue,  6 March 2018","Mnuchin backs tariffs, but says country 'not looking to get into trade wars'",The Treasury secretary asserts that the U.S. is not provoking a global trade war but instead wants its companies to get equal treatment.rnrn,https://www.cnbc.com/2018/03/06/mnuchin-backs-tariffs-but-says-country-not-looking-to-get-into-trade-wars.html
"1:19  PM ET Tue,  6 March 2018",Goldman Sachs: Trump's tariffs are 'draconian' and will raise prices,"President Trump would be better served by targeted tariffs instead of the ""draconian"" taxes he announced last week, Goldman Sachs said.",https://www.cnbc.com/2018/03/06/goldman-trumps-tariffs-are-draconian-and-will-raise-prices.html
"10:39  AM ET Tue,  6 March 2018",Fed's Kaplan says the market is not appreciating the risk of an oil price spike,"Oil prices could spike as US shale growth falls short of global demand, Dallas Fed President Robert Kaplan says.",https://www.cnbc.com/2018/03/06/feds-robert-kaplan-warns-of-potential-oil-price-spike.html
"6:00  AM ET Tue,  6 March 2018",Rising interest rates will be devastating to the US economy for one big reason,The single most dramatic effect of today's rising rates is the interest we will pay on our national debt.,https://www.cnbc.com/2018/03/05/rising-interest-rates-will-be-devastating-to-the-us-economy-for-one-big-reason.html
"10:18  AM ET Tue,  6 March 2018",'We're standing up to our foreign competition': Steel CEO on Trump tariffs,"CEO Tim Timken says without U.S. steel, we would be reliant on foreign sources, which could threaten national security.",https://www.cnbc.com/2018/03/05/were-standing-up-to-our-foreign-competition-steel-ceo-on-trump-tariffs.html
"8:45  AM ET Tue,  6 March 2018",Trump to meet executives of companies that use steel and aluminum to discuss tariffs,U.S. President Donald Trump is expected to meet on Thursday with executives of U.S. companies that use steel and aluminum to discuss his proposed tariffs.,https://www.cnbc.com/2018/03/06/trump-to-meet-companies-that-use-steel-and-aluminum-to-discuss-tariffs-bloomberg.html
"12:31  PM ET Fri,  2 March 2018",Commerce Secretary Wilbur Ross on potential price increases from Trump tariffs: 'No big deal',The Commerce Department recommended imposing heavy tariffs or quotas on foreign producers of steel and aluminum last month.,https://www.cnbc.com/2018/03/02/commerce-secretary-wilbur-ross-trump-tariffs-will-have-a-broad-but-trivial-impact-on-prices.html
"10:32  AM ET Fri,  2 March 2018","Trump doubles down: 'Trade wars are good, and easy to win'","Even if new tariffs spark an international trade war, Trump is confident the United States would come out on top.",https://www.cnbc.com/2018/03/02/trump-trade-wars-are-good-and-easy-to-win.html
"10:08  AM ET Fri,  2 March 2018","Consumer sentiment stays optimistic, buoyed by high hopes on jobs and tax boost","The University of Michigan's consumer sentiment index ticked down at the end of February, but remained historically high.",https://www.cnbc.com/2018/03/02/february-consumer-sentiment.html
"8:10  AM ET Fri,  2 March 2018","xe2x80x98Straight up stupid,' 'incompetent' and 'misguidedxe2x80x99: Economist Adam Posen rips Trump's tariffs","President Trump's announcement of a steep tariff on imported steel and aluminum has garnered widespread criticism, with U.S. trade partners already threatening retaliation.",https://www.cnbc.com/2018/03/02/trumps-protectionist-steel-tariffs-criticized-by-economist-adam-posen.html
"7:45  PM ET Thu,  1 March 2018",CSX customers will likely bear the burden of higher steel tariffs: CEO,"Fees from increased steel tariffs would eventually be passed onto CSX customers, says the railroad's CEO.",https://www.cnbc.com/2018/03/01/csx-customers-will-likely-bear-the-burden-of-higher-steel-tariffs-ceo.html
"6:01  AM ET Tue, 13 Feb 2018",Economic cost of the opioid crisis: $1 trillion and growing faster,"The number of fatal overdoses related to opioids is believed to have exceeded 62,500 in 2017.",https://www.cnbc.com/2018/02/12/economic-cost-of-the-opioid-crisis-1-trillion-and-growing-faster.html
"7:09  AM ET Tue, 13 Feb 2018",Conservatives lash out at GOP spending binge,"Deficit hawks in Congress and conservative activists who railed against President Barack Obama's spending plans called the GOP debt explosion ""dangerous,"" xe2x80xb3immoral"" and ""a betrayal.""",https://www.cnbc.com/2018/02/13/conservatives-lash-out-at-gop-spending-binge.html
"1:18  AM ET Tue, 13 Feb 2018","Washington is lighting an economic fire, and 'people should be spooked'","The ""Goldilocks"" growth story is staying intact. But with fiscal stimulus coming, some wonder if there is too much of a good thing.",https://www.cnbc.com/2018/02/13/goldilocks-economy-will-us-fiscal-stimulus-lead-to-overheating-risk.html
"6:38  PM ET Mon, 12 Feb 2018","Trump administration mulls sale of Dulles, Reagan airports",The Trump administration is considering selling off Dulles and Reagan airports.,https://www.cnbc.com/2018/02/12/washington-dc-airports-could-be-for-sale-in-trump-infrastructure-plan.html
"11:29  AM ET Tue, 13 Feb 2018",Trump wants to impose a 'reciprocal tax' on trade partners,"U.S. President Donald Trump said he would push for a ""reciprocal tax"" against countries, including U.S. allies, that levy tariffs on American products.",https://www.cnbc.com/2018/02/13/us-to-push-for-reciprocal-tax-on-trade-partners.html
"7:05  AM ET Tue, 13 Feb 2018","Trump budget trifecta: Plan aims to gut Obamacare, roll back Medicaid expansion, cut Medicare","Republicans spent much of 2017 trying to repeal Obamacare, but failed in those efforts.",https://www.cnbc.com/2018/02/12/trump-budget-calls-for-renewed-effort-to-gut-obamacare.html
"8:33  AM ET Tue, 13 Feb 2018",Stock market's rout is not impacting the US economic outlook: Cleveland Fed's Mester,"The recent market sell-off and jump in volatility will not damage the economy's overall strong prospects, Cleveland Fed president Loretta Mester said.",https://www.cnbc.com/2018/02/13/stock-markets-rout-is-not-impacting-the-us-economic-outlook-cleveland-feds-mester.html
"6:44  PM ET Thu,  8 Feb 2018","Fed's Dudley: Market drop is 'small potatoes,' economy still strong, rates going up",The tumult in stocks has not changed New York Fed President Bill Dudley's view that the economy is likely to continue to grow above pace.,https://www.cnbc.com/2018/02/08/dudley-market-drop-is-small-potatoes-economy-still-strong-rates-going-up.html
"8:57  AM ET Thu,  8 Feb 2018",US jobless claims unexpectedly drop to a near 45-year low,"The number of Americans filing for unemployment benefits unexpectedly fell last week, dropping to its lowest level in nearly 45 years.",https://www.cnbc.com/2018/02/08/us-weekly-jobless-claims-feb-3-2018.html
"7:47  AM ET Thu,  8 Feb 2018",January was the strongest month for hiring in 9 months: LinkedIn report,"Hiring across the U.S. was 13 percent higher last month than a year earlier, the LinkedIn Workforce Report finds.",https://www.cnbc.com/2018/02/08/january-was-strongest-month-for-hiring-in-9-months-linkedin-report.html
